name,latitude,longitude,date_of_occurrence
WEAPONS VIOLATION,41.874959427,-87.746257594,2024-07-14T17:45:00.000
THEFT,41.7211947,-87.664024973,2024-07-14T17:45:00.000
ASSAULT,41.928417052,-87.703253192,2024-07-14T17:47:00.000
BATTERY,41.767377799,-87.622750112,2024-07-14T17:50:00.000
BATTERY,41.750036241,-87.641583544,2024-07-14T17:52:00.000
MOTOR VEHICLE THEFT,41.735012449,-87.555528069,2024-07-14T17:52:00.000
ASSAULT,41.791510432,-87.663286653,2024-07-14T17:55:00.000
SEX OFFENSE,41.891990384,-87.611461502,2024-07-14T17:57:00.000
THEFT,41.760297611,-87.564785411,2024-07-14T17:59:00.000
OTHER OFFENSE,41.80046096,-87.73145371,2024-07-14T18:00:00.000
THEFT,41.769280696,-87.568226646,2024-07-14T18:00:00.000
MOTOR VEHICLE THEFT,41.771220136,-87.735587308,2024-07-14T18:00:00.000
DECEPTIVE PRACTICE,41.881088655,-87.720764494,2024-07-14T18:00:00.000
CRIMINAL DAMAGE,41.779043228,-87.615596685,2024-07-14T18:00:00.000
